                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.88522,                0.54743,                 1.0452,                0.87042,                0.79042,                0.88769,                0.66717,                0.84532,                 0.5905,                  1.034,              0.0092476,              0.0092476,              0.0092476
                     78,                0.86653,                 0.5363,                 1.0212,                0.82067,                0.85093,                0.90856,                0.66522,                0.84497,                0.60216,                 1.0259,              0.0092377,              0.0092377,              0.0092377
                     79,                0.89396,                0.55094,                 1.0456,                0.90864,                0.85396,                0.94743,                0.68742,                 0.8425,                0.55604,                 1.0359,              0.0092278,              0.0092278,              0.0092278
                     80,                0.88198,                0.55274,                  1.038,                0.80372,                0.88682,                0.92181,                0.67525,                0.84963,                0.60534,                 1.0347,              0.0092179,              0.0092179,              0.0092179
                     81,                 0.8738,                0.53959,                 1.0319,                0.86206,                0.90477,                0.92926,                0.68479,                0.82989,                  0.569,                 1.0285,               0.009208,               0.009208,               0.009208
                     82,                0.84314,                 0.5258,                 1.0187,                0.86542,                0.91287,                0.93541,                0.70299,                0.85716,                0.56297,                 1.0383,              0.0091981,              0.0091981,              0.0091981
                     83,                0.88241,                0.54349,                 1.0376,                0.86037,                0.85216,                0.91144,                0.68758,                 0.8539,                0.57694,                 1.0407,              0.0091882,              0.0091882,              0.0091882
                     84,                0.86742,                0.52207,                 1.0213,                0.75316,                0.81982,                0.81664,                0.54753,                0.96619,                0.70432,                 1.1206,              0.0091783,              0.0091783,              0.0091783
                     85,                0.84909,                0.52768,                 1.0278,                0.86034,                0.79365,                0.86598,                0.62064,                0.92491,                0.65605,                 1.1055,              0.0091684,              0.0091684,              0.0091684
                     86,                0.86802,                0.54085,                 1.0506,                0.87737,                0.80149,                0.91086,                0.66544,                0.87945,                0.60254,                 1.0476,              0.0091585,              0.0091585,              0.0091585
                     87,                0.86179,                 0.5396,                 1.0177,                0.89893,                0.84836,                0.89562,                0.66026,                0.85285,                0.58082,                 1.0289,              0.0091486,              0.0091486,              0.0091486
                     88,                 0.8449,                0.51926,                 1.0245,                0.91992,                0.84085,                0.93254,                0.67728,                0.87969,                0.59395,                 1.0341,              0.0091387,              0.0091387,              0.0091387
                     89,                0.83794,                0.50853,                 1.0144,                0.85871,                0.81037,                0.91481,                0.67251,                0.86258,                0.60156,                 1.0416,              0.0091288,              0.0091288,              0.0091288
                     90,                0.83577,                0.50914,                 1.0037,                0.87002,                0.86284,                0.91399,                0.66425,                0.88456,                0.57481,                 1.0595,              0.0091189,              0.0091189,              0.0091189
                     91,                0.83286,                0.51077,                 1.0187,                0.84047,                0.79463,                0.85589,                0.59716,                 1.0002,                0.68165,                 1.1238,               0.009109,               0.009109,               0.009109
                     92,                   0.84,                0.51278,                 1.0158,                0.86995,                0.87221,                0.93739,                0.68149,                0.87647,                0.56733,                 1.0275,              0.0090991,              0.0090991,              0.0090991
                     93,                0.84429,                 0.5099,                 1.0192,                0.90018,                0.85061,                0.91969,                0.66577,                0.88395,                0.57634,                 1.0495,              0.0090892,              0.0090892,              0.0090892
                     94,                0.83382,                0.50801,                 1.0124,                0.87239,                0.90786,                0.93979,                0.68767,                0.90169,                0.59314,                 1.0647,              0.0090793,              0.0090793,              0.0090793
                     95,                0.83032,                0.53068,                  1.015,                0.85782,                0.86904,                0.93627,                0.67254,                0.85923,                0.56738,                 1.0431,              0.0090694,              0.0090694,              0.0090694
                     96,                0.83361,                0.50484,                 1.0103,                 0.8697,                0.82899,                0.88769,                0.63001,                0.91111,                0.69073,                 1.0488,              0.0090595,              0.0090595,              0.0090595
                     97,                0.83898,                0.49709,                 1.0014,                0.86782,                 0.8663,                0.92798,                0.68556,                0.86701,                0.57643,                 1.0324,              0.0090496,              0.0090496,              0.0090496
